index,Close,Open,a,b,c,d,e,f,g,h,i
1816,1995.31,1978.02,0.28837904,0.41716507,0.41299617,0.6666212,0.4977212,0.38572505,0.44239253,0.56724143,0.22421035
1817,1990.2,1995.33,0.4083876,0.45372447,0.3553099,0.6259462,0.47244912,0.3845956,0.42775825,0.4751998,0.40446448
1818,1958.03,1989.66,0.97457355,0.85635465,0.9662602,0.5139801,0.0784578,0.47924435,0.84737045,0.005235873,0.9336716
1819,1966.97,1960.84,0.9718721,0.84956473,0.9562652,0.53758466,0.09964068,0.5101898,0.85894066,0.006368659,0.9033483
1820,1942.74,1961.39,0.9998665,0.9841868,0.99922764,0.3982982,0.00305401,0.6470016,0.98678327,6.54E-06,0.99774534
1821,1938.76,1943.24,0.9999535,0.98747754,0.9998405,0.39210376,0.00114308,0.69453394,0.99462754,7.62E-07,0.9978752
1822,1932.24,1934.81,0.9999565,0.9913966,0.99981624,0.3656956,0.000966933,0.7049348,0.9948143,2.90E-07,0.9986413
1823,1931.34,1935.93,0.9994854,0.9614993,0.99741334,0.4418331,0.005571554,0.6070769,0.97492355,3.79E-05,0.9918147
1824,1881.77,1929.18,0.9991855,0.975115,0.99711454,0.42048118,0.006804663,0.6097567,0.97044355,1.96E-05,0.9931601
1825,1884.09,1881.9,0.9991289,0.9736187,0.99759406,0.44937766,0.007533631,0.596767,0.9708448,3.30E-05,0.9887135
1826,1920.03,1887.14,0.003179984,0.0508256,0.003935891,0.6898136,0.9891506,0.20708907,0.030754903,0.9997503,0.02661079
1827,1923.82,1919.65,0.003204589,0.052264024,0.004695165,0.69685477,0.9911094,0.22186774,0.03805879,0.99972314,0.02552519
1828,1951.36,1921.77,0.000453171,0.01346611,0.000278607,0.7101557,0.99736893,0.17753445,0.009702601,0.9999906,0.012041396
1829,1987.05,1954.33,0.000438626,0.011330007,0.000516193,0.75909823,0.995323,0.18248904,0.012440739,0.9999919,0.00487885
1830,1979.92,1986.63,0.001384369,0.03119073,0.005446208,0.7712863,0.9857561,0.20744753,0.032717682,0.9999181,0.005363477
1831,1995.83,1982.34,0.002577818,0.042463623,0.007636491,0.74531895,0.97790605,0.23370194,0.045289986,0.99970645,0.012030419
1832,2013.43,1994.01,0.004170666,0.058134194,0.013894792,0.7469389,0.9638218,0.23942095,0.053639468,0.9993955,0.0140163
1833,2014.89,2013.73,0.018989226,0.12399877,0.07776612,0.7271096,0.9190914,0.2725128,0.12937416,0.9946154,0.028895492
1834,2017.46,2015.65,0.033425324,0.16415875,0.13349263,0.7056099,0.91378593,0.29431736,0.1748873,0.9859083,0.04714781
1835,2003.69,2015,0.1167774,0.20919405,0.087241314,0.6159221,0.89110607,0.32272276,0.20440471,0.94855714,0.23747315
1836,1994.24,2003.66,0.25123754,0.32681713,0.31414053,0.60037595,0.7819505,0.3323426,0.30824372,0.80095136,0.33991128
