index,Close,Open,a,b,c,d,e,f,g,h
1319,1692.77,1698.02,0.28362808,0.6509269,0.41095167,0.59122294,0.37798017,0.549502,0.60335827,0.21205598
1320,1698.67,1694.05,0.28355223,0.6430578,0.4056623,0.5924166,0.37762532,0.5516706,0.6053539,0.21425986
1321,1691.75,1695.52,0.26968464,0.63865054,0.409883,0.60014874,0.37753615,0.55046606,0.63019574,0.19702144
1322,1681.55,1687.26,0.24879786,0.6415569,0.3956841,0.5977817,0.3806805,0.5677508,0.6574,0.17808633
1323,1695,1682.41,0.28788745,0.67141175,0.37831688,0.55949104,0.39411688,0.5918779,0.5647247,0.22439885
1324,1693.87,1691.9,0.29478574,0.6639468,0.3750399,0.5641341,0.39781043,0.5943137,0.5544173,0.23680145
1325,1678.66,1692.35,0.27336025,0.6427271,0.36743715,0.5824757,0.3957627,0.59944934,0.6012582,0.21361761
1326,1690.5,1678.79,0.31822237,0.6574081,0.34254932,0.56299955,0.4033523,0.6279767,0.527032,0.26402143
1327,1676.12,1687.15,0.30549604,0.6489268,0.3502232,0.5704136,0.3990176,0.6184695,0.55512387,0.25058553
1328,1655.45,1676.22,0.29022548,0.6389125,0.37147525,0.5785689,0.4004292,0.5980644,0.5686274,0.23828205
1329,1656.4,1656.99,0.30886447,0.6554925,0.3807955,0.55992365,0.4032946,0.5878949,0.5224948,0.26628098
1330,1692.56,1660.88,0.35335487,0.6855557,0.30894622,0.5008395,0.41723648,0.6604962,0.420994,0.3347602
1331,1703.2,1691.09,0.39977437,0.6964383,0.28900462,0.47958624,0.41528285,0.69040143,0.3676059,0.39789703
1332,1710.14,1699.86,0.4035338,0.6945625,0.3105601,0.48036703,0.41925684,0.6716067,0.35342997,0.40879583
1333,1698.06,1709.17,0.35998988,0.6837117,0.32784322,0.5161006,0.40521172,0.65005213,0.4420376,0.33426347
1334,1721.54,1700.49,0.40960753,0.71196276,0.30526638,0.46653444,0.45795044,0.69342566,0.30183822,0.43956363
1335,1733.15,1720.17,0.40499923,0.71080995,0.31859073,0.47855118,0.45911703,0.67994994,0.30753317,0.43686134
1336,1744.5,1736.72,0.35575145,0.7080697,0.30144608,0.50277376,0.4386871,0.6862588,0.4108813,0.3650753
1337,1744.66,1745.2,0.32531524,0.6993681,0.328441,0.5298196,0.42194656,0.64858025,0.49257585,0.3030436
1338,1754.67,1746.48,0.30370134,0.6874367,0.32738912,0.54303867,0.41484988,0.642955,0.5214551,0.28046334
1339,1746.38,1752.27,0.30951056,0.7009369,0.3832224,0.53652847,0.41971147,0.59076786,0.48909864,0.29141963
1340,1752.07,1747.48,0.303738,0.7259562,0.3719543,0.5208838,0.4316917,0.6080485,0.4820874,0.28933278
1341,1759.77,1756.01,0.30922487,0.7200292,0.3714801,0.52333754,0.4266576,0.60764,0.48587474,0.28417224
1342,1762.11,1759.42,0.29409108,0.6933785,0.35721502,0.5542992,0.39358112,0.61190116,0.56259006,0.22966737
